"English Term","Arabic Term","Arabic Definition"
"Basilica","البازيليكا","هي الكاتدرائية أو رمز الثقافة العربية) المجوسية والمسيحية الأولى (، وهي عبارة عن شكل من أشكال الكنيسة القديمة عبارة عن مبنى مستطيل في أحد طرفيه جزء ناء نصف دائري."
"Bay","خليج صغير","الخليج الصغير هو جزء من محيط أو بحر يمتد داخل اليابسة."
"Behaviourism","السلوكية","هي مدخل من مداخل السياسة، وهي برزت بعد أن استطاعت المؤسسات القانونية والسياسية وعملياتها التأثير على السلوك بدرجة لايمكن تجاهلها، وأن المؤسسات المختلفة عسكريةك انت او بيروقراطية وتشريعية وتنفيذية أصبحت ذات تأثير مباشر Independent Impact على سلوك العاملين فيها وعلى من هم خارجها Outsiders."
"Bellicose","عدواني","العدواني سياسيا ً هو الذي يبادر الشخص الذي يكن له الحقد ويضمر الانتقام منه إلى الهجوم عليه سياسيا ً واقتصاديا، كما يظهر ذلك بوضوح في موقف الصهاينة من عرب فلسطين."
"Bidonville","مدن الصفائح","المقصود بمدن الصفائح تلك الأحياء التي تتكون من أكواخ من صفيح يقيمها المعدمون في ضواحي المدن الكبرى، وهي ظاهرة معروفة في كل بلاد العالم النامي، ولكن استخدام الاسم بالذات ارتبط بمدن الشمال الأفريقي، وتعرف في مصر بالعشوائيات."
"Big Governement","الحكومة الكبرى","وهو مصطلح ظهر في أمريكا ضمن نظام السيادة على العالم، وهو يعبر عن الحكومة باهظة التكاليف والسخية التي تتدخل في كل شيء حتى شئون السجون والمعتقلات، ويعني تنامي الدولة العقابية أو دولة العقوبات في الفكر السياسي المعاصر."
"Bill Of Human Rights","إعلان حقوق الإنسان","وهو إعلان أو بيان عالمي، للإنسانية جمعاء، أصدرته الأمم المتحدة في عام ١٩٤٨ م لضمان وكفالة كافة حقوق البشر، في كل مكان على سطح الكرة الأرضية، على حد سواء دون النظر إلى اللون أو العنصر أو البيئة أو المكان الذي يعيش فيه الإنسان."
"Bipolar System","نظام الاستقطاب الثنائي","هو شكل من أشكال النظام الدولى العالمي الذيساد لفترة من فترات القرن العشرين، ومن خلاله ينقسم العالم إلى مجموعتين من الدول تتزعم كل مجموعة قوة عظمى، ويصنف هذا النمط من السياسة الدولية إلى نوعين: حكم  أحدهما نظام الاستقطاب الثنائي الم Tight Bipolar System ، وفيه تحكم كل دولة عظمى السيطرة على الدول الدائرة في فلكها. والثاني نظام الاستقطاب الثنائي المرن Soose Bipolar System وهو نظام عالمي يتسم بالمرونة في العلاقات بين كل قوة عظمى والدول الداخلة معها في التحالف، كما يسمح بخروج أو بروز قوة أخرى تحاول مناقشة القوتين العظمتين في سيطرتهما على العالم."
"Bite","خور","الخور هو خليج ناتج عن تعرج في ساحل البحر.    حرف الدال"
"Black Dragon Society","جمعية التنين الأسود","جمعية التنين الأسود هي جمعية تعرف باسم جمعية نهر آمون، وعرفت ياسم التنين الأسود في الدول الغربية، وتأسست في سنة ١٩٠١ م، وكان لها نشاط بارز وخصوصا ً في تدعيم ثورة صن يات سن في الصين، حيث أسست فرع لها هناك تحت اسم Yurinki ، وهي جمعية يابانية اهتمت بشئون منطقة شرق آسيا لتجعلها قوة دولية."
"Black English","الإنجليزية السوداء","هو مصطلح يعبر عن لهجة إنجليزية عامية يتحدث بها كثير من السود الأ مريكيين."
"Bloces","ك ُتلك ُتل","الكتلة السياسية هي بمثابة اتخاذ جماعة من الدول اتجاها ً معينا ً، وهذه الكتل السياسية تقوى بتحزبها لفكرة معينة تؤمن،بها وقد أصبحت نغمة العصر الحالي) بالأحلاف والتكتل الدولي ضد الإرهاب وكتل الدول المختلفة (وفي الداخل تسمى التكتلات) جبهات (حزبية أو سياسية تتحالف للدخول في الانتخابات البرلمانية للفوز بها،وتسمى في بعض الدول) كتل سياسية (."
"Body Guard","الحرس الخاص","الحرس الخاص هم رجال أشد اء مسلحون لهم القدرة على الحماية الكاملة لمن يحرسونهم، وهو أسلوب تتبعه كبار الشخصيات المالية وأصحاب الشركات الكبرى وبعض الفنانين والفنانات باتخاذ حرس خاص لحمايتهن، ويضم فن الحراسة الخاصة معرفة بالفنون القتالية المختلفة، وهو مثال حديث لظاهرة فتوة الحارة أو الشارع أو المنطقة التي كانت موجودة في مصر قبل عدة عقود، والفتوات كانوا يعلنون مهامهم في حماية من يدفع الإتاوة."
